submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,pop,cases_per_pop
1/22/2020,AK,0,,,0,,306967,0
1/22/2020,AL,0,,,0,,2171853,0
1/22/2020,AR,0,,,0,,1316299,0
1/22/2020,AZ,0,,,0,,2844526,0
1/22/2020,CA,0,,,0,,13680081,0
1/22/2020,CO,0,,,0,,2212898,0
1/22/2020,CT,0,,,0,,1487891,0
1/22/2020,DC,0,,,0,,296719,0
1/22/2020,DE,0,,,0,,405885,0
1/22/2020,FL,0,,,0,,8989580,0
1/22/2020,GA,0,,,0,,4088801,0
1/22/2020,HI,0,,,0,,519508,0
1/22/2020,IA,0,,,0,,1336417,0
1/22/2020,ID,0,,,0,,667796,0
1/22/2020,IL,0,,,0,,5296715,0
1/22/2020,IN,0,,,0,,2795541,0
1/22/2020,KS,0,,,0,,1233215,0
1/22/2020,KY,0,,,0,,1927164,0
1/22/2020,LA,0,,,0,,1964981,0
1/22/2020,MA,0,,,0,,2808254,0
1/22/2020,MD,0,,,0,,2378814,0
1/22/2020,ME,0,,,0,,721830,0
1/22/2020,MI,0,,,0,,4532233,0
1/22/2020,MN,0,,,0,,2347201,0
1/22/2020,MO,0,,,0,,2712729,0
1/22/2020,MS,0,,,0,,1274719,0
1/22/2020,MT,0,,,0,,482825,0
1/22/2020,NC,0,,,0,,4327528,0
1/22/2020,ND,0,,,0,,317498,0
1/22/2020,NE,0,,,0,,796793,0
1/22/2020,NH,0,,,0,,614754,0
1/22/2020,NJ,0,,,0,,3553562,0
1/22/2020,NM,0,,,0,,901388,0
1/22/2020,NV,0,,,0,,1173814,0
1/22/2020,NY,0,,,0,,8108103,0
1/22/2020,OH,0,,,0,,5127508,0
1/22/2020,OK,0,,,0,,1664378,0
1/22/2020,OR,0,,,0,,1675562,0
1/22/2020,PA,0,,,0,,5567315,0
1/22/2020,RI,0,,,0,,463388,0
1/22/2020,SC,0,,,0,,2137683,0
1/22/2020,SD,0,,,0,,363438,0
1/22/2020,TN,0,,,0,,2812133,0
1/22/2020,TX,0,,,0,,9977436,0
1/22/2020,UT,0,,,0,,979709,0
1/22/2020,VA,0,,,0,,3364939,0
1/22/2020,VT,0,,,0,,322539,0
1/22/2020,WA,1,,,1,,2885677,3.46539E-07
1/22/2020,WI,0,,,0,,2624358,0
1/22/2020,WV,0,,,0,,881917,0
1/22/2020,WY,0,,,0,,261868,0
1/23/2020,AK,0,,,0,,306967,0
1/23/2020,AL,0,,,0,,2171853,0
1/23/2020,AR,0,,,0,,1316299,0
1/23/2020,AZ,0,,,0,,2844526,0
1/23/2020,CA,0,,,0,,13680081,0
1/23/2020,CO,0,,,0,,2212898,0
1/23/2020,CT,0,,,0,,1487891,0
1/23/2020,DC,0,,,0,,296719,0
1/23/2020,DE,0,,,0,,405885,0
1/23/2020,FL,0,,,0,,8989580,0
1/23/2020,GA,0,,,0,,4088801,0
1/23/2020,HI,0,,,0,,519508,0
1/23/2020,IA,0,,,0,,1336417,0
1/23/2020,ID,0,,,0,,667796,0
1/23/2020,IL,0,,,0,,5296715,0
1/23/2020,IN,0,,,0,,2795541,0
1/23/2020,KS,0,,,0,,1233215,0
1/23/2020,KY,0,,,0,,1927164,0
1/23/2020,LA,0,,,0,,1964981,0
1/23/2020,MA,0,,,0,,2808254,0
1/23/2020,MD,0,,,0,,2378814,0
1/23/2020,ME,0,,,0,,721830,0
1/23/2020,MI,0,,,0,,4532233,0
1/23/2020,MN,0,,,0,,2347201,0
1/23/2020,MO,0,,,0,,2712729,0
1/23/2020,MS,0,,,0,,1274719,0
1/23/2020,MT,0,,,0,,482825,0
1/23/2020,NC,0,,,0,,4327528,0
1/23/2020,ND,0,,,0,,317498,0
1/23/2020,NE,0,,,0,,796793,0
1/23/2020,NH,0,,,0,,614754,0
1/23/2020,NJ,0,,,0,,3553562,0
1/23/2020,NM,0,,,0,,901388,0
1/23/2020,NV,0,,,0,,1173814,0
1/23/2020,NY,0,,,0,,8108103,0
1/23/2020,OH,0,,,0,,5127508,0
1/23/2020,OK,0,,,0,,1664378,0
1/23/2020,OR,0,,,0,,1675562,0
1/23/2020,PA,0,,,0,,5567315,0
1/23/2020,RI,0,,,0,,463388,0
1/23/2020,SC,0,,,0,,2137683,0
1/23/2020,SD,0,,,0,,363438,0
1/23/2020,TN,0,,,0,,2812133,0
1/23/2020,TX,0,,,0,,9977436,0
1/23/2020,UT,0,,,0,,979709,0
1/23/2020,VA,0,,,0,,3364939,0
1/23/2020,VT,0,,,0,,322539,0
1/23/2020,WA,1,,,0,,2885677,3.46539E-07
1/23/2020,WI,0,,,0,,2624358,0
1/23/2020,WV,0,,,0,,881917,0
1/23/2020,WY,0,,,0,,261868,0
1/24/2020,AK,0,,,0,,306967,0
1/24/2020,AL,0,,,0,,2171853,0
1/24/2020,AR,0,,,0,,1316299,0
1/24/2020,AZ,0,,,0,,2844526,0
1/24/2020,CA,0,,,0,,13680081,0
1/24/2020,CO,0,,,0,,2212898,0
1/24/2020,CT,0,,,0,,1487891,0
1/24/2020,DC,0,,,0,,296719,0
1/24/2020,DE,0,,,0,,405885,0
1/24/2020,FL,0,,,0,,8989580,0
1/24/2020,GA,0,,,0,,4088801,0
1/24/2020,HI,0,,,0,,519508,0
1/24/2020,IA,0,,,0,,1336417,0
1/24/2020,ID,0,,,0,,667796,0
1/24/2020,IL,1,,,1,,5296715,1.88796E-07
1/24/2020,IN,0,,,0,,2795541,0
1/24/2020,KS,0,,,0,,1233215,0
1/24/2020,KY,0,,,0,,1927164,0
1/24/2020,LA,0,,,0,,1964981,0
1/24/2020,MA,0,,,0,,2808254,0
1/24/2020,MD,0,,,0,,2378814,0
1/24/2020,ME,0,,,0,,721830,0
1/24/2020,MI,0,,,0,,4532233,0
1/24/2020,MN,0,,,0,,2347201,0
1/24/2020,MO,0,,,0,,2712729,0
1/24/2020,MS,0,,,0,,1274719,0
1/24/2020,MT,0,,,0,,482825,0
1/24/2020,NC,0,,,0,,4327528,0
1/24/2020,ND,0,,,0,,317498,0
1/24/2020,NE,0,,,0,,796793,0
1/24/2020,NH,0,,,0,,614754,0
1/24/2020,NJ,0,,,0,,3553562,0
1/24/2020,NM,0,,,0,,901388,0
1/24/2020,NV,0,,,0,,1173814,0
1/24/2020,NY,0,,,0,,8108103,0
1/24/2020,OH,0,,,0,,5127508,0
1/24/2020,OK,0,,,0,,1664378,0
1/24/2020,OR,0,,,0,,1675562,0
1/24/2020,PA,0,,,0,,5567315,0
1/24/2020,RI,0,,,0,,463388,0
1/24/2020,SC,0,,,0,,2137683,0
1/24/2020,SD,0,,,0,,363438,0
1/24/2020,TN,0,,,0,,2812133,0
1/24/2020,TX,0,,,0,,9977436,0
1/24/2020,UT,0,,,0,,979709,0
1/24/2020,VA,0,,,0,,3364939,0
1/24/2020,VT,0,,,0,,322539,0
1/24/2020,WA,1,,,0,,2885677,3.46539E-07
1/24/2020,WI,0,,,0,,2624358,0
1/24/2020,WV,0,,,0,,881917,0
1/24/2020,WY,0,,,0,,261868,0
1/25/2020,AK,0,,,0,,306967,0
1/25/2020,AL,0,,,0,,2171853,0
